UruA 94013
 1.00000     0.00000
 0.99894     0.00081
 0.99112     0.00684
 0.97574     0.01712
 0.95149     0.02836
 0.91911     0.04023
 0.87939     0.05268
 0.85700     0.05906
 0.83305     0.06553
 0.80767     0.07201
 0.78095     0.07852
 0.75303     0.08497
 0.72401     0.09139
 0.69405     0.09766
 0.66325     0.10384
 0.63179     0.10978
 0.59975     0.11560
 0.56732     0.12115
 0.53461     0.12650
 0.50181     0.13151
 0.46902     0.13622
 0.43646     0.14038
 0.40424     0.14385
 0.37258     0.14615
 0.34142     0.14734
 0.31107     0.14723
 0.28118     0.14596
 0.25250     0.14325
 0.22461     0.13912
 0.19778     0.13356
 0.17217     0.12679
 0.14787     0.11894
 0.12504     0.11027
 0.10371     0.10076
 0.08412     0.09071
 0.06626     0.08010
 0.05034     0.06920
 0.03638     0.05803
 0.02462     0.04690
 0.01514     0.03563
 0.00815     0.02510
 0.00348     0.01582
 0.00085     0.00777
 0.00003    -0.00155
 0.00076    -0.00534
 0.00299    -0.00925
 0.00770    -0.01120
 0.01512    -0.01195
 0.02467    -0.01204
 0.03629    -0.01173
 0.04992    -0.01080
 0.06552    -0.00932
 0.08298    -0.00742
 0.10222    -0.00509
 0.12314    -0.00243
 0.14565     0.00069
 0.16959     0.00428
 0.19488     0.00834
 0.22143     0.01257
 0.24918     0.01693
 0.27779     0.02120
 0.30774     0.02548
 0.33824     0.02952
 0.36963     0.03342
 0.40150     0.03699
 0.43383     0.04031
 0.46647     0.04324
 0.49928     0.04589
 0.53211     0.04812
 0.56484     0.05003
 0.59731     0.05152
 0.62938     0.05280
 0.66090     0.05366
 0.69173     0.05410
 0.72172     0.05386
 0.75074     0.05300
 0.77867     0.05146
 0.80539     0.04931
 0.83079     0.04658
 0.85477     0.04337
 0.87722     0.03970
 0.91714     0.03135
 0.94980     0.02220
 0.97446     0.01300
 0.99075     0.00525
 0.99894     0.00068
 1.00000     0.00000
